scenarioId,runId,nodeCount,distribution,flowId,srcAs,dstAs,meanDelayMs,throughputMbps,packetLossPct,convergenceSec,simTimeSec
20_unbalanced,1,20,unbalanced,1,1,2,11.3765,5.09253,0,2.01516,60
20_unbalanced,1,20,unbalanced,2,1,3,11.9009,5.09229,0.00842141,2.01516,60
20_unbalanced,1,20,unbalanced,3,2,1,21.4846,5.09163,0,2.01516,60
20_unbalanced,1,20,unbalanced,4,2,3,11.3765,5.09253,0,2.01516,60
20_unbalanced,1,20,unbalanced,5,3,2,21.4846,5.09163,0,2.01516,60
20_unbalanced,1,20,unbalanced,6,3,1,14.0147,5.0921,0.00842141,2.01516,60
