scenarioId,runId,nodeCount,distribution,flowId,srcAs,dstAs,meanDelayMs,throughputMbps,packetLossPct,convergenceSec,simTimeSec
50_balanced,1,50,balanced,1,1,3,38.725,5.09009,0,2.26161,60
50_balanced,1,50,balanced,2,1,2,13.4967,5.09234,0,2.26161,60
50_balanced,1,50,balanced,3,1,3,36.6048,5.09028,0,2.26161,60
50_balanced,1,50,balanced,4,1,2,25.725,5.09125,0,2.26161,60
50_balanced,1,50,balanced,5,2,1,13.4967,5.09234,0,2.26161,60
50_balanced,1,50,balanced,6,2,3,15.6168,5.09215,0,2.26161,60
50_balanced,1,50,balanced,7,2,3,13.4967,5.09234,0,2.26161,60
50_balanced,1,50,balanced,8,3,1,36.6048,5.09028,0,2.26161,60
50_balanced,1,50,balanced,9,3,2,21.6048,5.09162,0,2.26161,60
