scenarioId,runId,nodeCount,distribution,flowId,srcAs,dstAs,meanDelayMs,throughputMbps,packetLossPct,convergenceSec,simTimeSec
20_balanced,1,20,balanced,1,1,2,19.3645,5.09182,0,2.01516,60
20_balanced,1,20,balanced,2,1,3,14.0716,5.09209,0.00842141,2.01516,60
20_balanced,1,20,balanced,3,2,1,21.4846,5.09163,0,2.01516,60
20_balanced,1,20,balanced,4,2,3,11.4353,5.09252,0,2.01516,60
20_balanced,1,20,balanced,5,3,2,11.3765,5.09253,0,2.01516,60
20_balanced,1,20,balanced,6,3,1,11.9009,5.09229,0.00842141,2.01516,60
